speaker,video_fn,video_link
chemistry,Multiple_Bonds--dpZipe4Hm0.mkv,https://www.youtube.com/watch?v=-dpZipe4Hm0
chemistry,Spectroscopy-43YS58bxWuU.mkv,http://www.youtube.com/watch?v=43YS58bxWuU
chemistry,Standard_Reduction_Potential-6EOSsIa9wDg.mkv,http://www.youtube.com/watch?v=6EOSsIa9wDg
chemistry,Statistical_Entropy_2-qsNst-6SB0c.mkv,https://www.youtube.com/watch?v=qsNst-6SB0c
chemistry,Balancing_Redox_Equations_NB-9z0sMWVIm7A.mkv,http://www.youtube.com/watch?v=9z0sMWVIm7A
chemistry,Ethylene_Polymerization_Quiz-j7ROvrT6W1M.mkv,http://www.youtube.com/watch?v=j7ROvrT6W1M
chemistry,Free_Energy_and_Equilibrium-fysCY3d9zAU.mkv,http://www.youtube.com/watch?v=fysCY3d9zAU
chemistry,Water_Isotherm_Quiz-0Ps7ux68RMU.mkv,http://www.youtube.com/watch?v=0Ps7ux68RMU
chemistry,Entropy_and_W_Quiz-myN3PqD38Ds.mkv,http://www.youtube.com/watch?v=myN3PqD38Ds
chemistry,Rate_Laws-qRkR-Gg29A0.mkv,https://www.youtube.com/watch?v=qRkR-Gg29A0
chemistry,Relative_and_Atomic_Molecular_Mass-WMAnyBjtj1Y.mkv,http://www.youtube.com/watch?v=WMAnyBjtj1Y
chemistry,Region_B_HA_A--ZuwQf_7yXrg.mkv,http://www.youtube.com/watch?v=ZuwQf_7yXrg
chemistry,Conjugation_and_Spectro-njRitLAU3Ik.mkv,http://www.youtube.com/watch?v=njRitLAU3Ik
chemistry,Hydrocarbon_Quiz-6V6JgmfTpyY.mkv,http://www.youtube.com/watch?v=6V6JgmfTpyY
chemistry,Polyprotic_NB-2hikObHZrXg.mkv,http://www.youtube.com/watch?v=2hikObHZrXg
chemistry,Diving_Safety_Quiz-f8b4i8DtA1Y.mkv,http://www.youtube.com/watch?v=f8b4i8DtA1Y
chemistry,Phase_Diagram-oqN1aemQnu0.mkv,http://www.youtube.com/watch?v=oqN1aemQnu0
chemistry,ATP_and_Metabolism-ma-MKQ2TAGk.mkv,https://www.youtube.com/watch?v=ma-MKQ2TAGk
chemistry,Characteristic_Kinetic_Plots-DzmtbC7bYUI.mkv,http://www.youtube.com/watch?v=DzmtbC7bYUI
chemistry,Vapor_Pressure_of_Water-h-7G6XgIPGY.mkv,https://www.youtube.com/watch?v=h-7G6XgIPGY
chemistry,Intermolecular_Potential_Energy-V_0Bnc_URos.mkv,http://www.youtube.com/watch?v=V_0Bnc_URos
chemistry,Light_as_a_Wave-e27ZIIsvuys.mkv,http://www.youtube.com/watch?v=e27ZIIsvuys
chemistry,Wave_Functions-luB5a39kGkA.mkv,http://www.youtube.com/watch?v=luB5a39kGkA
chemistry,The_pH_Scale-aSpt0ct0aKc.mkv,http://www.youtube.com/watch?v=aSpt0ct0aKc
chemistry,Energy_Levels-wcMCDbnuNms.mkv,http://www.youtube.com/watch?v=wcMCDbnuNms
chemistry,Linear_Ion_NB-cy4vUW9x62s.mkv,http://www.youtube.com/watch?v=cy4vUW9x62s
chemistry,Real_Gases_1_NB-wEwYuEk6dzs.mkv,http://www.youtube.com/watch?v=wEwYuEk6dzs
chemistry,Colored_Solution_and_Pen_Laser-9HIhEu8J79A.mkv,http://www.youtube.com/watch?v=9HIhEu8J79A
chemistry,Standard_Reduction_Potential_I-pfpNo10xcTw.mkv,http://www.youtube.com/watch?v=pfpNo10xcTw
chemistry,Equilibrium_Approach_-_Maintenance-vC2v1n-bZQU.mkv,https://www.youtube.com/watch?v=vC2v1n-bZQU
chemistry,Measuring_Calorimetry-idWS5CF3e8U.mkv,http://www.youtube.com/watch?v=idWS5CF3e8U
chemistry,I2_vs._CO2_Sublimation_Quiz--WxXRDp-IuU.mkv,https://www.youtube.com/watch?v=-WxXRDp-IuU
chemistry,Van_Der_Waals_Equation-hFWhPUDIhNY.mkv,http://www.youtube.com/watch?v=hFWhPUDIhNY
chemistry,Quantum_Numbers_NB-f-SJBvBHpuM.mkv,https://www.youtube.com/watch?v=f-SJBvBHpuM
chemistry,Thermochemistry-WYPgOKP-a78.mkv,https://www.youtube.com/watch?v=WYPgOKP-a78
chemistry,Mixing_Acids_and_Bases_Quiz-IqvWdvsDGhs.mkv,http://www.youtube.com/watch?v=IqvWdvsDGhs
chemistry,Gas_Mixture_NB-7W0cz0oGHGE.mkv,http://www.youtube.com/watch?v=7W0cz0oGHGE
chemistry,Catabolic_Redox_II-oYVD8MSW8NE.mkv,http://www.youtube.com/watch?v=oYVD8MSW8NE
chemistry,Three_Balloons_Quiz-yHIDWAYbYBs.mkv,http://www.youtube.com/watch?v=yHIDWAYbYBs
chemistry,Energy_of_Transitions-XwD8___Mm1I.mkv,http://www.youtube.com/watch?v=XwD8___Mm1I
chemistry,MO_Bond_Descriptions-aLwZdRbk8_4.mkv,http://www.youtube.com/watch?v=aLwZdRbk8_4
chemistry,Diffraction_and_Interference-YsyMQYr4h_4.mkv,http://www.youtube.com/watch?v=YsyMQYr4h_4
chemistry,Energy_Levels-wnGMFRnbik4.mkv,http://www.youtube.com/watch?v=wnGMFRnbik4
chemistry,Mass_Spectrometer-ktySzUONBUU.mkv,http://www.youtube.com/watch?v=ktySzUONBUU
chemistry,Balancing_Redox_Equation-FmTLXnrPBPQ.mkv,http://www.youtube.com/watch?v=FmTLXnrPBPQ
chemistry,Common_Ion_Effect_Le_Chatelier_s-jv9_JbddC7Y.mkv,http://www.youtube.com/watch?v=jv9_JbddC7Y
