speaker,video_fn,video_link
conan,CONAN_Monologue_07_30_12_-_CONAN_on_TBS-MpJixW5H0jY.mkv,http://www.youtube.com/watch?v=MpJixW5H0jY
conan,CONAN_Monologue_09_17_12_-_CONAN_on_TBS-83tCBniimzk.mkv,http://www.youtube.com/watch?v=83tCBniimzk
conan,Conan_On_Trump_s_Weekend_Tweetstorm_-_CONAN_on_TBS-4dWzfuKu79o.mkv,http://www.youtube.com/watch?v=4dWzfuKu79o
conan,CONAN_Monologue_07_12_17_-_CONAN_on_TBS-QVwJR9f1xY4.mkv,http://www.youtube.com/watch?v=QVwJR9f1xY4
conan,Conan_Reveals_Fox_News_New_Tagline_-_CONAN_on_TBS-IKfHfoGvCK0.mkv,http://www.youtube.com/watch?v=IKfHfoGvCK0
conan,CONAN_Monologue_12_13_12_-_CONAN_on_TBS-60RBvhCB4tQ.mkv,http://www.youtube.com/watch?v=60RBvhCB4tQ
conan,Monologue_02_28_12_-_CONAN_on_TBS-GKROlM02ns4.mkv,http://www.youtube.com/watch?v=GKROlM02ns4
conan,CONAN_Monologue_04_11_17_-_CONAN_on_TBS-8aVYSEL87OM.mkv,http://www.youtube.com/watch?v=8aVYSEL87OM
conan,Conan_-_Trump_Pulled_Out_Of_Iran_Deal_Paid_130_000_-_CONAN_on_TBS-nnvMpQcFlMM.mkv,http://www.youtube.com/watch?v=nnvMpQcFlMM
conan,CONAN Monologue  02_27_13 - CONAN on TBS-lI1FuRTC5H0.mkv,http://www.youtube.com/watch?v=lI1FuRTC5H0
conan,Monologue_05_22_2012_-_CONAN_on_TBS-yc7dL82cshI.mkv,http://www.youtube.com/watch?v=yc7dL82cshI
conan,CONAN_Monologue_12_04_12_-_CONAN_on_TBS-dWLhBOGXzSY.mkv,http://www.youtube.com/watch?v=dWLhBOGXzSY
conan,Conan_Monologue_06_21_12_-_CONAN_on_TBS-ZlX4abXLubE.mkv,http://www.youtube.com/watch?v=ZlX4abXLubE
conan,Monologue_06_11_12_-_CONAN_on_TBS-gWvqxKrO0PM.mkv,http://www.youtube.com/watch?v=gWvqxKrO0PM
conan,CONAN_Monologue_10_17_12_-_CONAN_on_TBS-R76QdIdtH8Y.mkv,http://www.youtube.com/watch?v=R76QdIdtH8Y
conan,ConanCon_Monologue_07_22_17_-_CONAN_on_TBS-pkhnzAzrsQA.mkv,http://www.youtube.com/watch?v=pkhnzAzrsQA
conan,CONAN_Monologue_05_10_17_-_CONAN_on_TBS-NaQOt4EWPRw.mkv,http://www.youtube.com/watch?v=NaQOt4EWPRw
conan,CONAN_Monologue_10_31_12_-_CONAN_on_TBS-nPhVqWZYjFU.mkv,http://www.youtube.com/watch?v=nPhVqWZYjFU
conan,CONAN_Monologue_08_08_12_-_CONAN_on_TBS-cLfrUEh7slM.mkv,http://www.youtube.com/watch?v=cLfrUEh7slM
conan,CONAN_Monologue_02_01_16_-_CONAN_on_TBS-Xuav1TPhLQw.mkv,http://www.youtube.com/watch?v=Xuav1TPhLQw
conan,CONAN_Monologue_11_27_12_-_CONAN_on_TBS-NAj2xYQaN5k.mkv,http://www.youtube.com/watch?v=NAj2xYQaN5k
conan,CONAN_Monologue_11_06_12_-_CONAN_on_TBS-bpE-qDn82g0.mkv,https://www.youtube.com/watch?v=bpE-qDn82g0
conan,CONAN_Monologue_04_10_13_-_CONAN_on_TBS-vAyETfjQlsk.mkv,http://www.youtube.com/watch?v=vAyETfjQlsk
conan,CONAN_Monologue_11_30_16_-_CONAN_on_TBS-qtkZFHQD3vQ.mkv,http://www.youtube.com/watch?v=qtkZFHQD3vQ
conan,CONAN_Monologue_01_08_13_-_CONAN_on_TBS-8C94uxwgctk.mkv,http://www.youtube.com/watch?v=8C94uxwgctk
conan,Monologue  04_23_12 - CONAN on TBS-in7Y_W4f1Iw.mkv,http://www.youtube.com/watch?v=in7Y_W4f1Iw
conan,CONAN_Monologue_09_05_12_-_CONAN_on_TBS-wC5qFlTjsLk.mkv,http://www.youtube.com/watch?v=wC5qFlTjsLk
conan,Monologue 07_31_12 - CONAN on TBS-1tPRYqUJXXg.mkv,http://www.youtube.com/watch?v=1tPRYqUJXXg
conan,CONAN_Monologue_09_06_12_-_CONAN_on_TBS-qR98qm3kSHM.mkv,http://www.youtube.com/watch?v=qR98qm3kSHM
conan,Conan_Monologue_06_20_12_-_CONAN_on_TBS-QfEHSYUs6lk.mkv,http://www.youtube.com/watch?v=QfEHSYUs6lk
conan,Conan_Monologue_07_19_12_-_CONAN_on_TBS-LZC-Ed-A-4A.mkv,https://www.youtube.com/watch?v=LZC-Ed-A-4A
conan,Conan_On_The_Most_Eloquent_Statement_Ever_Made_By_George_W._Bush_-_CONAN_on_TBS-FvI376RnDOs.mkv,http://www.youtube.com/watch?v=FvI376RnDOs
conan,Monologue 05_07_12 - CONAN on TBS-RP1aFH81LXc.mkv,http://www.youtube.com/watch?v=RP1aFH81LXc
