speaker,video_fn,video_link
oliver,Brexit_II_-_Last_Week_Tonight_with_John_Oliver_HBO-fyVz5vgqBhE.mkv,http://www.youtube.com/watch?v=fyVz5vgqBhE
oliver,Puerto_Rico_-_Last_Week_Tonight_with_John_Oliver_HBO-Tt-mpuR_QHQ.mkv,https://www.youtube.com/watch?v=Tt-mpuR_QHQ
oliver,Net_Neutrality_-_Last_Week_Tonight_with_John_Oliver_HBO-fpbOEoRrHyU.mkv,http://www.youtube.com/watch?v=fpbOEoRrHyU
oliver,Alex_Jones_-_Last_Week_Tonight_with_John_Oliver_HBO-WyGq6cjcc3Q.mkv,http://www.youtube.com/watch?v=WyGq6cjcc3Q
oliver,Student_Debt_-_Last_Week_Tonight_with_John_Oliver_HBO-P8pjd1QEA0c.mkv,http://www.youtube.com/watch?v=P8pjd1QEA0c
oliver,Charter_Schools_-_Last_Week_Tonight_with_John_Oliver_HBO-l_htSPGAY7I.mkv,http://www.youtube.com/watch?v=l_htSPGAY7I
oliver,Rehab_-_Last_Week_Tonight_with_John_Oliver_HBO-hWQiXv0sn9Y.mkv,http://www.youtube.com/watch?v=hWQiXv0sn9Y
oliver,Nuclear_Weapons_-_Last_Week_Tonight_with_John_Oliver_HBO-1Y1ya-yF35g.mkv,https://www.youtube.com/watch?v=1Y1ya-yF35g
oliver,Trump_vs._Truth_-_Last_Week_Tonight_with_John_Oliver_HBO-xecEV4dSAXE.mkv,http://www.youtube.com/watch?v=xecEV4dSAXE
oliver,Lead_-_Last_Week_Tonight_with_John_Oliver_HBO-GUizvEjR-0U.mkv,https://www.youtube.com/watch?v=GUizvEjR-0U
oliver,Dialysis_-_Last_Week_Tonight_with_John_Oliver_HBO-yw_nqzVfxFQ.mkv,http://www.youtube.com/watch?v=yw_nqzVfxFQ
oliver,U.S._Territories_-_Last_Week_Tonight_with_John_Oliver_HBO-CesHr99ezWE.mkv,http://www.youtube.com/watch?v=CesHr99ezWE
oliver,Paris_Agreement_-_Last_Week_Tonight_with_John_Oliver_HBO-5scez5dqtAc.mkv,http://www.youtube.com/watch?v=5scez5dqtAc
oliver,Food_Waste_-_Last_Week_Tonight_with_John_Oliver_HBO-i8xwLWb0lLY.mkv,http://www.youtube.com/watch?v=i8xwLWb0lLY
oliver,Fashion_-_Last_Week_Tonight_with_John_Oliver_HBO-VdLf4fihP78.mkv,http://www.youtube.com/watch?v=VdLf4fihP78
oliver,Guardianship_-_Last_Week_Tonight_with_John_Oliver_HBO-nG2pEffLEJo.mkv,http://www.youtube.com/watch?v=nG2pEffLEJo
oliver,Online_Harassment_-_Last_Week_Tonight_with_John_Oliver_HBO-PuNIwYsz7PI.mkv,http://www.youtube.com/watch?v=PuNIwYsz7PI
oliver,Sugar_-_Last_Week_Tonight_with_John_Oliver_HBO-MepXBJjsNxs.mkv,http://www.youtube.com/watch?v=MepXBJjsNxs
oliver,Debt_Buyers_-_Last_Week_Tonight_with_John_Oliver_HBO-hxUAntt1z2c.mkv,http://www.youtube.com/watch?v=hxUAntt1z2c
