speaker,video_fn,video_link
seth,Trump_s_Disturbing_Week_-_Russia_Military_Parade_Rob_Porter_-_A_Closer_Look-0dLVivLINqw.mkv,http://www.youtube.com/watch?v=0dLVivLINqw
seth,Breaking_Crazy_-_Donald_Trump_s_Charlottesville_Press_Conference-TcF940yTY6Q.mkv,http://www.youtube.com/watch?v=TcF940yTY6Q
seth,Trump_Backpedals_on_Russia_Comments_High-Heel_Crocs_-_Monologue-N0lA28AsMpo.mkv,http://www.youtube.com/watch?v=N0lA28AsMpo
seth,As_Macron_Visits_Trump_s_Foreign_Policy_Makes_No_Sense_-_A_Closer_Look-f_EwmFh8cBE.mkv,http://www.youtube.com/watch?v=f_EwmFh8cBE
seth,Trump_Goes_to_Davos_While_Congress_Debates_Immigration_-_A_Closer_Look-H3mX88_tx3Q.mkv,http://www.youtube.com/watch?v=H3mX88_tx3Q
seth,Trump_Goes_on_Fox_Friends_and_Freaks_Out_About_Michael_Cohen_-_A_Closer_Look-0Nyl1yUbVHM.mkv,http://www.youtube.com/watch?v=0Nyl1yUbVHM
seth,Pee_Tape_Allegations_Paul_Ryan_Retires_Trump_Attacks_Mueller_-_A_Closer_Look-EqqCOHifYTo.mkv,http://www.youtube.com/watch?v=EqqCOHifYTo
seth,Mueller_s_Questions_for_Trump_Facebook_s_Dating_App_-_Monologue-zDwR3QoResM.mkv,http://www.youtube.com/watch?v=zDwR3QoResM
seth,Trump_Avoids_Reporters_and_Lies_About_His_Tariffs_-_A_Closer_Look-urMsr55b25Y.mkv,http://www.youtube.com/watch?v=urMsr55b25Y
seth,Trump_in_Davos_Deer_Basketball_-_Monologue-cvOf4baUd8c.mkv,http://www.youtube.com/watch?v=cvOf4baUd8c
seth,Trump_and_GOP_Face_Fallout_from_His_Racist_Immigration_Comments_-_A_Closer_Look-5JgguNlVzkc.mkv,http://www.youtube.com/watch?v=5JgguNlVzkc
seth,Trump_s_Placemat_Pokemon_Go_-_Monologue-HDTXod2NZgE.mkv,http://www.youtube.com/watch?v=HDTXod2NZgE
seth,Trump_s_Unhinged_Rally_Betsy_DeVos_Train_Wreck_Interview_-_A_Closer_Look-yPx3q-E_6mM.mkv,https://www.youtube.com/watch?v=yPx3q-E_6mM
seth,The_Trump_Team_s_Lies_About_Immigrants_and_Family_Separation_-_A_Closer_Look-jtdGk_brGDE.mkv,http://www.youtube.com/watch?v=jtdGk_brGDE
seth,Trump_s_False_Claims_and_Executive_Orders_-_A_Closer_Look-fRfgKqsTMhM.mkv,http://www.youtube.com/watch?v=fRfgKqsTMhM
seth,Donald_Trump_s_Tax_Lawyer_Elton_John_Retires_from_Touring_-_Monologue-VKc-QqY78Ic.mkv,https://www.youtube.com/watch?v=VKc-QqY78Ic
seth,Trump_Deals_with_New_Russia_and_Michael_Cohen_Bombshells_-_A_Closer_Look-05U0AYfnWgI.mkv,http://www.youtube.com/watch?v=05U0AYfnWgI
seth,Senator_Cory_Booker_Is_Very_Concerned_About_Trump-BfevV57y10c.mkv,http://www.youtube.com/watch?v=BfevV57y10c
seth,NBC_News_Andrea_Mitchell_on_Trump_s_Ban_on_Transgender_Troops_and_Health_Care-cBuvuhcG01I.mkv,http://www.youtube.com/watch?v=cBuvuhcG01I
seth,Trump_s_Meeting_with_Kim_Jong-un_Mother_s_Day_-_Monologue-w9LfXtNGVBc.mkv,http://www.youtube.com/watch?v=w9LfXtNGVBc
seth,Trump_Ends_DACA_Responds_to_Hurricane_Harvey_-_A_Closer_Look-qWFydl-nFsw.mkv,https://www.youtube.com/watch?v=qWFydl-nFsw
seth,Hey_Puerto_Rico-u5U0q-hh5B4.mkv,https://www.youtube.com/watch?v=u5U0q-hh5B4
seth,Rudy_Giuliani_Says_Trump_Lied_About_Stormy_Daniels_-_A_Closer_Look-YnY_3V5K8bE.mkv,http://www.youtube.com/watch?v=YnY_3V5K8bE
seth,Trump_Alternative_Facts_and_the_Women_s_March_-_A_Closer_Look-lg9Tu79F4qE.mkv,http://www.youtube.com/watch?v=lg9Tu79F4qE
seth,The_National_Prayer_Breakfast_Tokyo_s_Robot_Barista_-_Monologue-jodbeUvcxK0.mkv,http://www.youtube.com/watch?v=jodbeUvcxK0
seth,Trump_Pushes_Another_Tax_Cut_Calls_for_End_to_Russia_Probe_-_A_Closer_Look-CQyD31t_8Ao.mkv,http://www.youtube.com/watch?v=CQyD31t_8Ao
seth,Rachel_Maddow_Details_Ways_Trump_s_Business_Conflicts_Could_Hurt_America-7uh5vlsELFE.mkv,http://www.youtube.com/watch?v=7uh5vlsELFE
